row_id,movie_name,rating,votes,meta_score,genre0,genre1,genre2,genre3,pr_rating,year,duration,cast0,cast1,cast2,cast3,cast4,director,number_rating,weekly_rank,weekly_hours_viewed,weekly_views,cumulative_weeks_in_top_10
1509,Predators,6.4,241000.0,51.0,"Action, Adventure, Fantasy",Action, Adventure, Fantasy,R,2010,1.783,"Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga",Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga,Nimród Antal,4.0,7.0,10800000.0,2900000.0,1.0
649,Heart of Stone,5.7,55000.0,44.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2023,2.033,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi",Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi,Tom Harper,3.0,3.0,13700000.0,6500000.0,4.0
837,Love Again,5.9,11000.0,32.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,PG-13,2023,1.733,"Priyanka Chopra Jonas, Sam Heughan, Céline Dion, Sofia Barclay",Priyanka Chopra Jonas, Sam Heughan, Céline Dion, Sofia Barclay,Jim Strouse,3.0,8.0,5100000.0,2900000.0,1.0
649,Heart of Stone,5.7,55000.0,44.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2023,2.033,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi",Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi,Tom Harper,3.0,2.0,28500000.0,13600000.0,3.0
1625,Jurassic World: Fallen Kingdom,6.1,337000.0,51.0,"Action, Adventure, Sci-Fi",Action, Adventure, Sci-Fi,PG-13,2018,2.133,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith",Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith,J.A. Bayona,3.0,6.0,10100000.0,4700000.0,1.0
1436,Madagascar,6.9,429000.0,57.0,"Animation, Adventure, Comedy",Animation, Adventure, Comedy,PG,2005,1.433,"Chris Rock, Ben Stiller, David Schwimmer, Jada Pinkett Smith",Chris Rock, Ben Stiller, David Schwimmer, Jada Pinkett Smith,Eric DarnellTom McGrath,2.0,9.0,4800000.0,3300000.0,1.0
1411,Dora and the Lost City of Gold,6.1,34000.0,63.0,"Action, Adventure, Comedy",Action, Adventure, Comedy,PG,2019,1.7,"Isabela Merced, Eugenio Derbez, Michael Peña, Eva Longoria",Isabela Merced, Eugenio Derbez, Michael Peña, Eva Longoria,James Bobin,2.0,10.0,4900000.0,2900000.0,2.0
1927,The Lincoln Lawyer,7.3,251000.0,63.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2011,1.967,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy,Brad Furman,4.0,8.0,15300000.0,1900000.0,8.0
649,Heart of Stone,5.7,55000.0,44.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2023,2.033,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi",Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi,Tom Harper,3.0,1.0,74000000.0,35200000.0,2.0
1927,The Lincoln Lawyer,7.3,251000.0,63.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2011,1.967,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy,Brad Furman,4.0,5.0,23500000.0,2900000.0,7.0
